Timestamp,BatchID,TotalSpectra,Concurrency,TotalBatchTime_ms,AvgSpectrumTime_ms,MinSpectrumTime_ms,MaxSpectrumTime_ms,SuccessRate,AvgChiSquare,SpectraPerSecond,EfficiencyScore,CircuitCode
2025-08-20T23:15:10+02:00,first_approach,12,1,431.47,24.81,20.55,37.88,100.0,5.752453e-01,27.81,0.690,R(CR)
2025-08-20T23:15:30+02:00,first_approach,12,5,95.69,29.41,22.85,32.00,100.0,5.752453e-01,125.40,0.738,R(CR)
2025-08-20T23:15:50+02:00,first_approach,12,10,84.15,50.61,24.52,63.54,100.0,5.752453e-01,142.61,0.722,R(CR)
2025-08-20T23:16:11+02:00,first_approach,12,12,62.89,55.45,48.06,60.65,100.0,5.752453e-01,190.80,0.882,R(CR)
2025-08-20T23:19:20+02:00,first_approach,12,1,378.76,21.28,19.52,25.25,100.0,5.752453e-01,31.68,0.674,R(CR)
2025-08-20T23:19:41+02:00,first_approach,12,5,92.22,28.73,22.81,33.10,100.0,5.752453e-01,130.13,0.748,R(CR)
2025-08-20T23:20:01+02:00,first_approach,12,10,73.82,44.66,23.12,53.64,100.0,5.752453e-01,162.56,0.726,R(CR)
2025-08-20T23:20:21+02:00,first_approach,12,12,80.40,70.12,63.43,77.56,100.0,5.752453e-01,149.25,0.872,R(CR)
2025-08-20T23:22:38+02:00,first_approach,12,1,380.07,20.64,18.97,25.06,100.0,5.752453e-01,31.57,0.652,R(CR)
2025-08-21T08:05:18+02:00,first_approach,12,1,598.15,31.84,23.59,44.36,100.0,5.752453e-01,20.06,0.639,R(CR)
2025-08-21T08:05:38+02:00,first_approach,12,5,91.39,29.07,22.06,34.15,100.0,5.752453e-01,131.31,0.763,R(CR)
2025-08-21T08:05:58+02:00,first_approach,12,10,78.96,40.87,19.83,50.19,100.0,5.752453e-01,151.98,0.621,R(CR)
2025-08-21T08:06:19+02:00,first_approach,12,12,67.42,59.38,50.29,65.02,100.0,5.752453e-01,177.98,0.881,R(CR)
2025-08-21T08:10:10+02:00,optimized_worker_pool_12,12,5,217.23,73.28,66.50,78.72,100.0,5.752453e-01,55.24,0.810,R(QR)
2025-08-21T08:10:30+02:00,optimized_worker_pool_12,12,10,189.79,115.74,69.23,131.80,100.0,5.752453e-01,63.23,0.732,R(QR)
2025-08-21T08:10:51+02:00,optimized_worker_pool_12,12,12,181.44,168.94,161.21,180.49,100.0,5.752453e-01,66.14,0.931,R(QR)
2025-08-21T08:13:23+02:00,optimized_worker_pool_12,12,5,75.37,25.99,20.84,28.25,100.0,5.752453e-01,159.21,0.827,R(CR)
2025-08-21T08:13:43+02:00,optimized_worker_pool_12,12,10,73.54,45.76,26.24,53.77,100.0,5.752453e-01,163.19,0.747,R(CR)
2025-08-21T08:29:51+02:00,first_approach,12,1,1059.39,78.32,70.53,83.09,100.0,5.752453e-01,11.33,0.887,R(QR)
2025-08-21T08:30:10+02:00,first_approach,12,5,238.51,76.60,69.34,83.39,100.0,5.752453e-01,50.31,0.771,R(QR)
2025-08-21T08:30:31+02:00,first_approach,12,10,235.21,136.93,84.51,160.26,100.0,5.752453e-01,51.02,0.699,R(QR)
2025-08-21T08:30:51+02:00,first_approach,12,12,182.52,164.87,133.23,180.23,100.0,5.752453e-01,65.75,0.903,R(QR)
2025-08-21T08:32:47+02:00,first_approach,12,1,3715.65,297.64,229.19,376.08,100.0,1.039153e-01,3.23,0.961,R(QR)(QR)
2025-08-21T08:33:04+02:00,first_approach,12,5,838.58,287.29,229.49,367.54,100.0,1.039153e-01,14.31,0.822,R(QR)(QR)
2025-08-21T08:33:24+02:00,first_approach,12,10,938.52,633.92,309.87,799.49,100.0,1.039153e-01,12.79,0.811,R(QR)(QR)
2025-08-21T08:33:44+02:00,first_approach,12,12,756.96,664.97,566.70,752.98,100.0,1.039153e-01,15.85,0.878,R(QR)(QR)
2025-08-21T08:38:43+02:00,first_approach,12,1,647.35,40.65,37.50,46.94,100.0,5.752453e-01,18.54,0.753,R(CR)(CR)
2025-08-21T08:39:03+02:00,first_approach,12,5,129.54,42.31,37.48,48.56,100.0,5.752453e-01,92.64,0.784,R(CR)(CR)
2025-08-21T08:39:23+02:00,first_approach,12,10,131.62,71.38,37.66,85.70,100.0,5.752453e-01,91.17,0.651,R(CR)(CR)
2025-08-21T08:39:43+02:00,first_approach,12,12,107.37,98.74,90.84,104.64,100.0,5.752453e-01,111.76,0.920,R(CR)(CR)
2025-08-21T08:10:10+02:00,optimized_worker_pool_12,12,5,217.23,73.28,66.50,78.72,100.0,5.752453e-01,55.24,0.810,R(QR)
2025-08-21T08:10:30+02:00,optimized_worker_pool_12,12,10,189.79,115.74,69.23,131.80,100.0,5.752453e-01,63.23,0.732,R(QR)
2025-08-21T08:10:51+02:00,optimized_worker_pool_12,12,12,181.44,168.94,161.21,180.49,100.0,5.752453e-01,66.14,0.931,R(QR)
2025-08-21T08:13:23+02:00,optimized_worker_pool_12,12,5,75.37,25.99,20.84,28.25,100.0,5.752453e-01,159.21,0.827,R(CR)
2025-08-21T08:13:43+02:00,optimized_worker_pool_12,12,10,73.54,45.76,26.24,53.77,100.0,5.752453e-01,163.19,0.747,R(CR)
2025-08-21T08:14:03+02:00,optimized_worker_pool_12,12,12,68.55,58.55,48.92,67.77,100.0,5.752453e-01,175.04,0.854,R(CR)
2025-08-21T08:16:36+02:00,optimized_worker_pool_12,12,5,851.04,285.52,211.16,382.77,100.0,1.039153e-01,14.10,0.805,R(QR)(QR)
2025-08-21T08:16:57+02:00,optimized_worker_pool_12,12,10,689.18,400.27,260.98,486.59,100.0,1.039153e-01,17.41,0.697,R(QR)(QR)
2025-08-21T08:17:17+02:00,optimized_worker_pool_12,12,12,560.88,492.75,417.33,559.70,100.0,1.039153e-01,21.39,0.879,R(QR)(QR)
2025-08-21T08:23:51+02:00,optimized_worker_pool_12,12,5,114.41,39.98,29.44,47.13,100.0,5.752453e-01,104.88,0.839,R(CR)(CR)
2025-08-21T08:24:12+02:00,optimized_worker_pool_12,12,10,106.62,69.98,35.47,84.08,100.0,5.752453e-01,112.55,0.788,R(CR)(CR)
2025-08-21T08:24:32+02:00,optimized_worker_pool_12,12,12,151.27,140.74,128.13,149.93,100.0,5.752453e-01,79.33,0.930,R(CR)(CR)
